keyword,title,sale_price($),anchor_price($),ratings(5),reviews,orders,scrape_datetime,url
watches,"Michael Kors Oversized Slim Runway Men's Watch, Stainless Steel Watch for Men",95.0,95.0,4.7,10907.0,2000+,2024-11-07 13:27:13,https://www.amazon.com/Michael-Kors-Runway-Black-MK8507/dp/B01HEVAPSO/ref=sr_1_1
watches,"Smart Watch, Fitness Tracker with Heart Rate Monitor, Blood Oxygen, Sleep Tracking, 1.5 Inch Touchscreen Smartwatch for Android iOS Swimming Waterproof Pedometer Step Calories Tracker for Women Men",19.99,19.99,4.0,2653.0,2000+,2024-11-07 13:27:13,https://www.amazon.com/Tracking-Touchscreen-Smartwatch-Waterproof-Pedometer/dp/B0C1GNXTSW/ref=sr_1_2
watches,Amazon's Choice: Overall Pick,16.86,16.86,4.5,34577.0,9000+,2024-11-07 13:27:13,https://www.amazon.com/Casio-F91W-1-Classic-Resin-Digital/dp/B000GAWSDG/ref=sr_1_3
watches,Timex Men's Expedition Scout 40mm Watch,34.92,34.92,4.4,24590.0,1000+,2024-11-07 13:27:13,https://www.amazon.com/Timex-TW4B15500-Expedition-Scout-Slip-Thru/dp/B07FFBHM7F/ref=sr_1_4
watches,Casio Illuminator AE1500WH Series | 10-Year Battery | LED Backlight | 5-Alarms | 1/100 Sec Stopwatch | Men's Digital Watch,20.97,20.97,4.6,17545.0,1000+,2024-11-07 13:27:13,https://www.amazon.com/Casio-AE-1500WH-5AVCF-10-Year-Battery/dp/B08VMTXZP1/ref=sr_1_5
watches,"Smart Watch for Men Women Compatible with iPhone Samsung Android Phone 1.69 inch Full Touch Screen IP68 Waterproof Bluetooh Fitness Tracker Heart Rate / Sleep Monitor, Black",18.99,18.99,4.1,1297.0,1000+,2024-11-07 13:27:13,https://www.amazon.com/TORJALPH-Compatible-Samsung-Waterproof-Bluetooh/dp/B09TR2NNJS/ref=sr_1_6
watches,"Casio F108WH Series | Men's Digital Watch | Illuminator | Water Resistant | LED Light | Daily Alarm | 1/100 SEC Stopwatch | 3 Hands (HR, Min, SEC) | Date/Day Display | Daily Alarm | 7 Year Battery",16.88,16.88,4.6,25660.0,4000+,2024-11-07 13:27:13,https://www.amazon.com/Casio-F108WH-Illuminator-Collection-Digital/dp/B0053HBJBE/ref=sr_1_7
watches,Timex Men's Easy Reader Watch,36.83,36.83,4.5,15926.0,2000+,2024-11-07 13:27:13,https://www.amazon.com/Timex-T2H281-Reader-Black-Leather/dp/B000AYYIYU/ref=sr_1_8
watches,"SAMSUNG Galaxy Watch 7 44mm Bluetooth AI Smartwatch w/Energy Score, Wellness Tips, Heart Rate Tracking, Sleep Monitor, Fitness Tracker, 2024, Silver [US Version, 1Yr Manufacturer Warranty]",260.99,260.99,4.4,704.0,1000+,2024-11-07 13:27:13,https://www.amazon.com/SAMSUNG-Bluetooth-Smartwatch-Wellness-Manufacturer/dp/B0D1YL9TRK/ref=sr_1_9
watches,Anne Klein Women's Bracelet Watch,28.97,28.97,4.6,4266.0,3000+,2024-11-07 13:27:13,https://www.amazon.com/Anne-Klein-Dress-Watch-Model/dp/B08G1XQ99P/ref=sr_1_10
watches,Casio Men's Vintage A158WA-1 Water Resistant Digital Watch,20.28,20.28,4.6,44602.0,7000+,2024-11-07 13:27:13,https://www.amazon.com/Casio-A158WA-1-Water-Resistant-Digital/dp/B000GAYQJ0/ref=sr_1_11
watches,Casio Men's MDV106-1AV 200 M WR Black Dive Watch (MDV106-1A),50.97,50.97,4.7,21291.0,2000+,2024-11-07 13:27:13,https://www.amazon.com/Casio-MDV106-1AV-Analog-Watch-Black/dp/B009KYJAJY/ref=sr_1_12
watches,Casio FT500WC-5BVCF Men's Forester Sport Watch with Nylon Band,21.92,21.92,4.5,7210.0,1000+,2024-11-07 13:27:13,https://www.amazon.com/CASIO-FT-500WC-5BVCF-Forester-Sport-Watch/dp/B004AOLA1A/ref=sr_1_13
watches,LN LENQIN Mens Watches Analog Quartz Sports Unisex Watch 30M Waterproof Nurse Watches for Men Women Nurse Medical Professionals-Military Time with Second Hand Glowing Easy to Read Dial Wrist Watch…,13.99,13.99,4.3,2502.0,1000+,2024-11-07 13:27:13,https://www.amazon.com/LN-LENQIN-Watches-Waterproof-Professionals-Military/dp/B0C2TF41Z2/ref=sr_1_14
watches,Nine West Women's Crystal Accented Bracelet Watch,18.39,18.39,4.5,10721.0,3000+,2024-11-07 13:27:13,https://www.amazon.com/Nine-West-Accented-Gold-Tone-Bracelet/dp/B075YYK9NL/ref=sr_1_15
watches,"SAMSUNG Galaxy Watch 6 44mm Bluetooth Smartwatch, Fitness Tracker, Personalized HR Zones, Advanced Sleep Coaching, Heart Monitor, BIA Sensor, Health Wellness Insights, Big Screen, US Version, Graphite",189.99,189.99,4.5,5811.0,6000+,2024-11-07 13:27:13,https://www.amazon.com/SAMSUNG-Bluetooth-Smartwatch-Personalized-Advanced/dp/B0C797946T/ref=sr_1_16
watches,Fossil Nate Men's Watch with Oversized Chronograph Watch Dial and Stainless Steel or Leather Band,112.54,112.54,4.5,21453.0,700+,2024-11-07 13:27:13,https://www.amazon.com/Fossil-Quartz-Stainless-Steel-Chronograph/dp/B008AXYWHQ/ref=sr_1_17
watches,Anne Klein Women's Genuine Diamond Dial Bangle Watch,21.55,21.55,4.6,9467.0,3000+,2024-11-07 13:27:13,https://www.amazon.com/Anne-Klein-AK-1980BKGB-Diamond-Accented/dp/B00ZHJDT7U/ref=sr_1_18
watches,Anne Klein Women's Leather Strap Watch,20.27,20.27,4.6,5593.0,2000+,2024-11-07 13:27:13,https://www.amazon.com/Anne-Klein-AK-2706CHBK-Gold-Tone/dp/B01H1UHV5S/ref=sr_1_19
watches,"Casio MQ24 Vintage Series | Quartz Analog Watch for Men | White/Black | Water Resistant | Resin Case | Resin Band | Resin Glass | Three Hand Analog (HR, Min, SEC) | Classic Design | 3 Yr Batt",15.46,15.46,4.4,8133.0,2000+,2024-11-07 13:27:13,https://www.amazon.com/Casio-MQ24-7B2-Analog-Watch-Black/dp/B000GB0G7A/ref=sr_1_20
watches,Timex Men's Ironman Classic 30 38mm Watch,33.1,33.1,4.5,16862.0,2000+,2024-11-07 13:27:13,https://www.amazon.com/Timex-Ironman-Classic-Full-Size-Running/dp/B0842QF6JD/ref=sr_1_21
watches,L LAVAREDO Mens Digital Watch Sports Military Watches Waterproof Outdoor Chronograph Wrist Watches for Men with LED Back Ligh/Alarm/Date,16.99,16.99,4.3,9769.0,800+,2024-11-07 13:27:13,https://www.amazon.com/Waterproof-Multifunctional-Chronograph-Backlight-Stopwatch/dp/B089NGH82D/ref=sr_1_22
watches,Timex Men's Easy Reader Watch,29.52,29.52,4.6,10923.0,2000+,2024-11-07 13:27:13,https://www.amazon.com/Timex-Mens-Easy-Reader-Watch/dp/B072P1WLGL/ref=sr_1_23
watches,Fossil Grant Men's Watch with Chronograph or Automatic Display and Genuine Leather or Stainless Steel Band,109.99,109.99,4.6,18257.0,400+,2024-11-07 13:27:13,https://www.amazon.com/Fossil-ME3099-Self-Wind-Stainless-Steel/dp/B01487C6WA/ref=sr_1_24
watches,"Citizen Men's Eco-Drive Weekender Brycen Chronograph Watch in Stainless Steel, Brown Leather strap, Ivory Dial (Model: CA0649-06X)",186.12,186.12,4.6,1867.0,300+,2024-11-07 13:27:13,https://www.amazon.com/Citizen-Eco-Drive-Quartz-Stainless-Leather/dp/B06XYYF4BG/ref=sr_1_25
watches,Timex Unisex Weekender 38mm Watch,36.69,36.69,4.5,22380.0,900+,2024-11-07 13:27:13,https://www.amazon.com/Timex-Unisex-T2N651-Weekender-Slip-Thru/dp/B004VR9HP2/ref=sr_1_26
watches,"Amazfit T-Rex 3 Rugged/Military Smart Watch 48mm, GPS (with Privacy), Offline Maps, Long Battery Life,328 Feet Water-Resistant, 170 Fitness/Sport Modes, AI, Voice Control, for Android or iPhone, Black",279.99,279.99,4.6,140.0,1000+,2024-11-07 13:27:13,https://www.amazon.com/Amazfit-Military-Privacy-Offline-Water-Resistant/dp/B0DCZ9PRCP/ref=sr_1_27
watches,Casio Men's Quartz Day-Date Indicator Black Resin Dive Watch (Model: MRW200H-1BV),21.92,21.92,4.4,15437.0,1000+,2024-11-07 13:27:13,https://www.amazon.com/Casio-MRW200H-1BV-Black-Resin-Watch/dp/B005JVP0LE/ref=sr_1_28
watches,"Citizen Promaster Dive Eco-Drive Watch, 3-Hand Date, ISO Certified, Luminous Hands and Markers, Rotating Bezel, Blue/Stainless (Model: BN0151-09L)",191.92,191.92,4.7,3766.0,500+,2024-11-07 13:27:14,https://www.amazon.com/Citizen-Eco-Drive-Promaster-Diver-BN0151-09L/dp/B00PXVU3GM/ref=sr_1_29
